"","ID","Legend_Name","MnO","Type","Mineral"
"1","cl5_402549621ccs_f0043474ccam01057p3_norm_Rocknest","Rocknest",2.38,"Gale","Yellowknife Bay"
"2","cl5_402549698ccs_f0043474ccam01057p3_norm_Rocknest","Rocknest",2.07,"Gale","Yellowknife Bay"
"3","cl5_402549850ccs_f0043474ccam01057p3_norm_Rocknest","Rocknest",2.59,"Gale","Yellowknife Bay"
"4","cl5_402549926ccs_f0043474ccam01057p3_norm_Rocknest","Rocknest",1.53,"Gale","Yellowknife Bay"
"5","cl5_404934115ccs_f0050104ccam01083p3_norm_Rocknest","Rocknest",1.96,"Gale","Yellowknife Bay"
"6","cl5_404934568ccs_f0050104ccam01083p3_norm_Rocknest","Rocknest",2.3,"Gale","Yellowknife Bay"
"7","cl5_404934704ccs_f0050104ccam01083p3_norm_Rocknest","Rocknest",2.24,"Gale","Yellowknife Bay"
"8","cl5_410898017ccs_f0051902ccam04151p3_norm_Little_Dal","Little_Dal",3.33,"Gale","Yellowknife Bay"
"9","cl5_427848603ccs_f0090000ccam01342p3_norm_Caribou","Caribou",13.6,"Gale","Yellowknife Bay"
"10","cl5_451729935ccs_f0311330ccam01611p3_norm_Stephen","Stephen",3.82,"Gale","Kimberley"
"11","cl5_451730004ccs_f0311330ccam01611p3_norm_Stephen","Stephen",4.79,"Gale","Kimberley"
"12","cl5_451730067ccs_f0311330ccam01611p3_norm_Stephen","Stephen",5.08,"Gale","Kimberley"
"13","cl5_451730188ccs_f0311330ccam01611p3_norm_Stephen","Stephen",2.91,"Gale","Kimberley"
"14","cl5_451730354ccs_f0311330ccam01611p3_norm_Stephen","Stephen",4.14,"Gale","Kimberley"
"15","cl5_451730418ccs_f0311330ccam01611p3_norm_Stephen","Stephen",3.57,"Gale","Kimberley"
"16","cl5_451730770ccs_f0311330ccam01611p3_norm_Stephen","Stephen",2.32,"Gale","Kimberley"
"17","cl5_451743236ccs_f0311330ccam06611p3_norm_Stephen","Stephen",6.54,"Gale","Kimberley"
"18","cl5_451743299ccs_f0311330ccam06611p3_norm_Stephen","Stephen",4.26,"Gale","Kimberley"
"19","cl5_451743359ccs_f0311330ccam06611p3_norm_Stephen","Stephen",4.28,"Gale","Kimberley"
"20","cl5_451743419ccs_f0311330ccam06611p3_norm_Stephen","Stephen",2.83,"Gale","Kimberley"
"21","cl5_451743479ccs_f0311330ccam06611p3_norm_Stephen","Stephen",2.6,"Gale","Kimberley"
"22","cl5_451743539ccs_f0311330ccam06611p3_norm_Stephen","Stephen",3.06,"Gale","Kimberley"
"23","cl5_451743599ccs_f0311330ccam06611p3_norm_Stephen","Stephen",3.29,"Gale","Kimberley"
"24","cl5_451743659ccs_f0311330ccam06611p3_norm_Stephen","Stephen",3.25,"Gale","Kimberley"
"25","cl5_452535848ccs_f0311330ccam04619p3_norm_Neil","Neil",2.55,"Gale","Kimberley"
"26","cl5_452535924ccs_f0311330ccam04619p3_norm_Neil","Neil",5.82,"Gale","Kimberley"
"27","cl5_452536055ccs_f0311330ccam04619p3_norm_Neil","Neil",2.95,"Gale","Kimberley"
"28","cl5_452536222ccs_f0311330ccam04619p3_norm_Neil","Neil",2.65,"Gale","Kimberley"
"29","cl5_452536287ccs_f0311330ccam04619p3_norm_Neil","Neil",3.13,"Gale","Kimberley"
"30","cl5_452536353ccs_f0311330ccam04619p3_norm_Neil","Neil",3.2,"Gale","Kimberley"
"31","cl5_452536419ccs_f0311330ccam04619p3_norm_Neil","Neil",3.58,"Gale","Kimberley"
"32","cl5_452536587ccs_f0311330ccam04619p3_norm_Neil","Neil",3.32,"Gale","Kimberley"
"33","cl5_452536653ccs_f0311330ccam04619p3_norm_Neil","Neil",3.88,"Gale","Kimberley"
"34","cl5_453063967ccs_f0311330ccam01625p3_norm_Mondooma","Mondooma",5.97,"Gale","Kimberley"
"35","cl5_453064043ccs_f0311330ccam01625p3_norm_Mondooma","Mondooma",2.25,"Gale","Kimberley"
"36","cl5_453064384ccs_f0311330ccam01625p3_norm_Mondooma","Mondooma",2.53,"Gale","Kimberley"
"37","cl5_466559371ccs_f0430000ccam05778p3_norm_Bald_Mountain","Bald Mountain",2.57,"Gale","Upper Murray"
"38","cl5_466645533ccs_f0430000ccam04779p3_norm_Bald_Mountain","Bald Mountain",2.46,"Gale","Upper Murray"
"39","cl5_466645980ccs_f0430000ccam04779p3_norm_Bald_Mountain","Bald Mountain",1.69,"Gale","Upper Murray"
"40","cl5_466646287ccs_f0430000ccam04779p3_norm_Bald_Mountain","Bald Mountain",7.67,"Gale","Upper Murray"
"41","cl5_493814236ccs_f0491420ccam02085p3_norm_Gordon","Gordon",3.21,"Gale","Upper Murray"
"42","cl5_547165441ccs_f0623188ccam01686p3_norm_Newport_Ledge","Newport Ledge",2.89,"Gale",NA
"43","cl5_547165510ccs_f0623188ccam01686p3_norm_Newport_Ledge","Newport Ledge",3.15,"Gale",NA
"44","cl5_547165573ccs_f0623188ccam01686p3_norm_Newport_Ledge","Newport Ledge",2.49,"Gale",NA
"45","cl5_547165637ccs_f0623188ccam01686p3_norm_Newport_Ledge","Newport Ledge",2.61,"Gale",NA
"46","cl5_547165701ccs_f0623188ccam01686p3_norm_Newport_Ledge","Newport Ledge",3,"Gale",NA
"47","cl5_547435969ccs_f0623350ccam03688p3_norm_Denning_Brook","Denning Brook",4.03,"Gale",NA
"48","cl5_547436045ccs_f0623350ccam03688p3_norm_Denning_Brook","Denning Brook",2.81,"Gale",NA
"49","cl5_547436425ccs_f0623350ccam03688p3_norm_Denning_Brook","Denning Brook",2.93,"Gale",NA
"50","cl5_547436491ccs_f0623350ccam03688p3_norm_Denning_Brook","Denning Brook",3.21,"Gale",NA
"51","cl5_547436726ccs_f0623350ccam03688p3_norm_Denning_Brook","Denning Brook",2.96,"Gale",NA
"52","cl5_548240933ccs_f0630766ccam03698p3_norm_Knight_Nubble","Knight Nubble",3.42,"Gale",NA
"53","cl5_548241009ccs_f0630766ccam03698p3_norm_Knight_Nubble","Knight Nubble",4.51,"Gale",NA
