Sample,Formation,Pathway
ANK9,,
ANK10,,
ANK11,,
ANK12,,
GL-1-W,Freshwater,Freshwater
GL-1-X,Freshwater,Freshwater
GL-1-X,Freshwater,Freshwater
GL-1-Y,Freshwater,Freshwater
GL-1-YA,Freshwater,Freshwater
GL-1-Z,Freshwater,Freshwater
GL-1-C1(10),Freshwater,Freshwater
GL-1-C2(10),Freshwater,Freshwater
GL-2-Y,Freshwater,Freshwater
GL-2-Z,Freshwater,Freshwater
GL-2-C1(9),Freshwater,Freshwater
GL-2-C1B(9),Freshwater,Freshwater
GL-4-Z,Freshwater,Freshwater
GL-4-C1(5),Freshwater,Freshwater
SH-1-X,Freshwater,Freshwater
SH-1-Y,Freshwater,Freshwater
SH-1-Z,Freshwater,Freshwater
SH-1-ZA,Freshwater,Freshwater
SH-1-C1(16),Freshwater,Freshwater
ML-1-Z,Freshwater,Freshwater
ML-1-C1(16),Freshwater,Freshwater
BB1,,
BB2,,
BB3,,
BB4,,
BB5,,
BB6,,
BB7,,
BB8,,
BB9,,
ChQA1,,
ChQA2,,
ChQA3,,
ChQA4,,
ChQA5,,
ChQA6,,
ChQA7,,
ChQA8,,
ChQA9,,
ChQA10,,
ChQA11,,
ChQA12,,
ChQB1,,
ChQB2,,
ChQB3,,
ChQB4,,
ChQB5,,
ChQB6,,
ChQB7,,
ChQB8,,
ChQB9a,,
ChQB9b,,
ChQB9c,,
ChQB9d,,
ChQB10,,
ChQB11,,
ChQB12,,
MIS-05,,
MIS-04,,
MIS-03,,
MIS-02,,
MIS-01,,
LAT-IGZ,,
Basalt1,,
Basalt2,,
Ooid1,,
Ooid2,,
Ooid3,,
Ooid4,,
Ooid5,,
Ooid6,,
Ooid7,,
Ooid8,,
Ooid9,,
Ooid10,,
Sample 1,,
Sample 2,,
Sample 3,,
Sample 4,,
R73658,,
R73675,,
R73653,,
R73646,,
R73669,,
R77350,,
R73353,,
R73351,,
R70569,,
HK06-1,,
HK06-2,,
HK06-3,,
HK06-4,,
HK06-5,,
HK06-6,,
HK06-7,,
HK06-8,,
HK06-9,,
HK06-10,,
HK06-12,,
HK06-13,,
HK06-14,,
HK06-15,,
HK06-16,,
HK06-17,,
HK06-18,,
HK06-19,,
HK06-20,,
HK06-R1,,
HK06-R2,,
Coated grain #1 - 01,,
Coated grain #1 - 02,,
Coated grain #1 - 03,,
Coated grain #1 - 04,,
Coated grain #1 - 05,,
Coated grain #1 - 06,,
Coated grain #1 - 07,,
Coated grain #2 - 01,,
Coated grain #2 - 02,,
Coated grain #2 - 03,,
Coated grain #2 - 04,,
Coated grain #2 - 05,,
Coated grain #2 - 06,,
Coated grain #2 - 07,,
Coated grain #2 - 08,,
Coated grain #3 - 01,,
Coated grain #3 - 02,,
Coated grain #3 - 03,,
Coated grain #3 - 04,,
Coated grain #3 - 05,,
Coated grain #3 - 06,,
Coated grain #3 - 07,,
Coated grain #3 - 08,,
Coated grain #4 - 01,,
Coated grain #4 - 02,,
Coated grain #4 - 03,,
Coated grain #4 - 04,,
Coated grain #4 - 05,,
Coated grain #5 - 01,,
Coated grain #5 - 02,,
Coated grain #5 - 03,,
Coated grain #5 - 04,,
Coated grain #5 - 05,,
Hamersley-I,,
Hamersley-II,,
Hamersley-III,,
India-IV,,
India-V,,
India-VI,,
India-VII,,
India-VIII,,
India-IX,,
Brazil and Venezuela-X,,
Brazil and Venezuela-XI,,
Brazil and Venezuela-XII,,
Brazil and Venezuela-XIII,,
Brazil and Venezuela-XIV,,
Brazil and Venezuela-XV,,
Silicate-I,,
Silicate-II,,
Silicate-III,,
Silicate-IV,,
Magnetite-silicate-V,,
Magnetite-silicate-VI,,
Magnetite-silicate-VII,,
Magnetite-silicate-VIII,,
Magnetite-silicate-IX,,
Hematite-X,,
Hematite-XI,,
Bingi-XII,,
Bingi-XIII,,
Bingi-XIV,,
Zimbabwe-I,,
Zimbabwe-II,,
Zimbabwe-III,,
Guinea and Senegal-IV,,
Guinea and Senegal-V,,
Guinea and Senegal-VI,,
Guinea and Senegal-VII,,
Guinea and Senegal-VIII,,
North America-IX,,
North America-X,,
China-XI,,
Ukraine-XII,,
Ukraine-XIII,,
Itakpe Hill-I,,
Itakpe Hill-II,,
Itakpe Hill-III,,
Desna Group-IV,,
Desna Group-V,,
Desna Group-VI,,
Wadi Mubarak-VII,,
Wadi Mubarak-VIII,,
Wadi Mubarak-IX,,
Liberia-X,,
Liberia-XI,,
Harare-XII,,
Rana-XIII,,
Rana-XIV,,
Norberg-XV,,
Thuringian Basin-I,,
Thuringian Basin-II,,
Thuringian Basin-III,,
Thuringian Basin-IV,,
Prague Basin-V,,
Prague Basin-VI,,
Prague Basin-VII,,
Prague Basin-VIII,,
Leru-section-IX,,
Leru-section-X,,
Scrunthorpe-XI,,
Scrunthorpe-XII,,
Welsh Basin-I,,
Welsh Basin-II,,
Welsh Basin-III,,
Welsh Basin-IV,,
Welsh Basin-V,,
Welsh Basin-VI,,
Cleveland Ironstone-VII,,
Cleveland Ironstone-VIII,,
Cleveland Ironstone-IX,,
Cleveland Ironstone-X,,
Cleveland Ironstone-XI,,
Cleveland Ironstone-XII,,
Salzgitter-I,,
Salzgitter-II,,
