Number,Sample,SiO2 (%),TiO2,Al2O3,Fe2O3,FeO,Fe,MnO,Mn,MgO,CaO,Na2O,K2O,P2O5,SO3,C,CO2,LOI,H2O,Cl,Total,Li,Be,Rb,Sr,Cs,Ba,B,Br,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Te,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Fe/Mn,Ref,Type,Fe_species,Mn_species,Locality,Age,method,Notes
1,ANK9,7.81,0.14,4.62,68.91,,,0.48,,0.78,1.2,0.1,0.18,2.01,0.4,,,12.78,,,99.41,,,,110.6,,74.03,,,11.1,802.7,114.4,112.2,239.6,10.67,445.9,,,35.46,83.22,56.04,,,,,,,,,,,,,,18.67,,,,26,206,14.2,79,18.66,4.57,18.43,3.24,17.76,4.22,11.71,1.66,11.12,1.75,129.66,1,Oolitic Ironstone,oxide,oxide,"Jebel Ank,Tunisia",Late Eocene,"AAS, ICP-MS",
2,ANK10,7.77,0.14,4.6,69.48,,,0.49,,0.79,1.21,0.1,0.18,2.03,0.38,,,12.89,,,100.06,,,,123.5,,66.83,,,12.33,912.6,118,137.8,245.2,15.02,466,,,37.01,91.6,62.73,,,,,,,,,,,,,,24.09,,,,32.8,211.8,16.39,78.14,18.58,4.52,19.8,3.35,18.92,4.29,12.58,1.71,11.59,1.84,128.06,1,Oolitic Ironstone,oxide,oxide,"Jebel Ank,Tunisia",Late Eocene,"AAS, ICP-MS",
3,ANK11,7.67,0.12,5.07,69.44,,,0.68,,0.8,1.11,0.1,0.16,1.89,0.25,,,12.76,,,100.05,,,,93.04,,58.89,,,14.67,948.9,116.5,149.3,253.4,17.11,453.6,,,38.78,92.4,67.15,,,,,,,,,,,,,,33.56,,,,37.11,226.4,17.34,81.73,18.43,4.68,19.65,3.21,18.88,4.45,12.96,1.79,11.26,1.84,92.23,1,Oolitic Ironstone,oxide,oxide,"Jebel Ank,Tunisia",Late Eocene,"AAS, ICP-MS",
4,ANK12,8.2,0.16,6.12,66.88,,,0.55,,0.79,0.89,0.12,0.11,2.02,0.37,,,13.56,,,99.77,,,,98.29,,64.11,,,15.09,584.2,110.2,92.82,228.7,22.67,337.3,,,10.62,73.12,76.45,,,,,,,,,,,,,,36.23,,,,27.33,192.9,13.82,67.36,15.66,4.02,17.27,2.81,16.21,4.1,10.75,1.61,10.34,1.59,109.82,1,Oolitic Ironstone,oxide,oxide,"Jebel Ank,Tunisia",Late Eocene,"AAS, ICP-MS",
5,GL-1-W,,,,,,15.5,,35.9,,,,,,,,,,,,,,,,,,,,,,,,220,338,13,1940,,,,,,,,,,,,,,,,,0.05,,25,,,,,,,,,,,,,,,,,,0.43,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
6,GL-1-X,,,,,,20.9,,34.9,,,,,,,,,,,,,,,,,,,,,,,,202,243,12,1575,,,,,,,,,,,,,,,,,0.034,,24,,,,,,,,,,,,,,,,,,0.6,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
7,GL-1-X,,,,,,20.9,,34.9,,,,,,,,,,,,,,,,,,,,,,,,192,230,8,1500,,,,,,,,,,,,,,,,,0.037,,28,,,,,,,,,,,,,,,,,,0.6,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
8,GL-1-Y,,,,,,18.6,,33.7,,,,,,,,,,,,,,,,,,,,,,,,192,215,10,1575,,,,,,,,,,,,,,,,,0.046,,26,,,,,,,,,,,,,,,,,,0.55,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
9,GL-1-YA,,,,,,18.7,,34,,,,,,,,,,,,,,,,,,,,,,,,192,215,10,1575,,,,,,,,,,,,,,,,,0.046,,26,,,,,,,,,,,,,,,,,,0.55,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
10,GL-1-Z,,,,,,19.3,,33.4,,,,,,,,,,,,,,,,,,,,,,,,192,215,10,1340,,,,,,,,,,,,,,,,,0.04,,25,,,,,,,,,,,,,,,,,,0.58,2,Lacustrine ferromanganese concretion,oxide,oxide,"Grand Lake, Nova Scotia, Canada",,"whole rock XRF, AAS",
