Number,Sample,Formation,Pathway
1,ANK9,,
2,ANK10,,
3,ANK11,,
4,ANK12,,
5,GL-1-W,Freshwater,Freshwater
6,GL-1-X,Freshwater,Freshwater
7,GL-1-X,Freshwater,Freshwater
8,GL-1-Y,Freshwater,Freshwater
9,GL-1-YA,Freshwater,Freshwater
10,GL-1-Z,Freshwater,Freshwater
11,GL-1-C1(10),Freshwater,Freshwater
12,GL-1-C2(10),Freshwater,Freshwater
13,GL-2-Y,Freshwater,Freshwater
14,GL-2-Z,Freshwater,Freshwater
15,GL-2-C1(9),Freshwater,Freshwater
16,GL-2-C1B(9),Freshwater,Freshwater
17,GL-4-Z,Freshwater,Freshwater
18,GL-4-C1(5),Freshwater,Freshwater
19,SH-1-X,Freshwater,Freshwater
20,SH-1-Y,Freshwater,Freshwater
21,SH-1-Z,Freshwater,Freshwater
22,SH-1-ZA,Freshwater,Freshwater
23,SH-1-C1(16),Freshwater,Freshwater
24,ML-1-Z,Freshwater,Freshwater
25,ML-1-C1(16),Freshwater,Freshwater
26,BB1,,
27,BB2,,
28,BB3,,
29,BB4,,
30,BB5,,
31,BB6,,
32,BB7,,
33,BB8,,
34,BB9,,
35,ChQA1,,
36,ChQA2,,
37,ChQA3,,
38,ChQA4,,
39,ChQA5,,
40,ChQA6,,
41,ChQA7,,
42,ChQA8,,
43,ChQA9,,
44,ChQA10,,
45,ChQA11,,
46,ChQA12,,
47,ChQB1,,
48,ChQB2,,
49,ChQB3,,
50,ChQB4,,
51,ChQB5,,
52,ChQB6,,
53,ChQB7,,
54,ChQB8,,
55,ChQB9a,,
56,ChQB9b,,
57,ChQB9c,,
58,ChQB9d,,
59,ChQB10,,
60,ChQB11,,
61,ChQB12,,
62,MIS-05,,
63,MIS-04,,
64,MIS-03,,
65,MIS-02,,
66,MIS-01,,
67,LAT-IGZ,,
68,Basalt1,,
69,Basalt2,,
70,Ooid1,,
71,Ooid2,,
72,Ooid3,,
73,Ooid4,,
74,Ooid5,,
75,Ooid6,,
76,Ooid7,,
77,Ooid8,,
78,Ooid9,,
79,Ooid10,,
80,Sample 1,,
81,Sample 2,,
82,Sample 3,,
83,Sample 4,,
84,R73658,,
85,R73675,,
86,R73653,,
87,R73646,,
88,R73669,,
89,R77350,,
90,R73353,,
91,R73351,,
92,R70569,,
93,HK06-1,,
94,HK06-2,,
95,HK06-3,,
96,HK06-4,,
97,HK06-5,,
98,HK06-6,,
99,HK06-7,,
100,HK06-8,,
101,HK06-9,,
102,HK06-10,,
103,HK06-12,,
104,HK06-13,,
105,HK06-14,,
106,HK06-15,,
107,HK06-16,,
108,HK06-17,,
109,HK06-18,,
110,HK06-19,,
111,HK06-20,,
112,HK06-R1,,
113,HK06-R2,,
114,Coated grain #1 - 01,,
115,Coated grain #1 - 02,,
116,Coated grain #1 - 03,,
117,Coated grain #1 - 04,,
118,Coated grain #1 - 05,,
119,Coated grain #1 - 06,,
120,Coated grain #1 - 07,,
121,Coated grain #2 - 01,,
122,Coated grain #2 - 02,,
123,Coated grain #2 - 03,,
124,Coated grain #2 - 04,,
125,Coated grain #2 - 05,,
126,Coated grain #2 - 06,,
127,Coated grain #2 - 07,,
128,Coated grain #2 - 08,,
129,Coated grain #3 - 01,,
130,Coated grain #3 - 02,,
131,Coated grain #3 - 03,,
132,Coated grain #3 - 04,,
133,Coated grain #3 - 05,,
134,Coated grain #3 - 06,,
135,Coated grain #3 - 07,,
136,Coated grain #3 - 08,,
137,Coated grain #4 - 01,,
138,Coated grain #4 - 02,,
139,Coated grain #4 - 03,,
140,Coated grain #4 - 04,,
141,Coated grain #4 - 05,,
142,Coated grain #5 - 01,,
143,Coated grain #5 - 02,,
144,Coated grain #5 - 03,,
145,Coated grain #5 - 04,,
146,Coated grain #5 - 05,,
147,Hamersley-I,,
148,Hamersley-II,,
149,Hamersley-III,,
150,India-IV,,
151,India-V,,
152,India-VI,,
153,India-VII,,
154,India-VIII,,
155,India-IX,,
156,Brazil and Venezuela-X,,
157,Brazil and Venezuela-XI,,
158,Brazil and Venezuela-XII,,
159,Brazil and Venezuela-XIII,,
160,Brazil and Venezuela-XIV,,
161,Brazil and Venezuela-XV,,
162,Silicate-I,,
163,Silicate-II,,
164,Silicate-III,,
165,Silicate-IV,,
166,Magnetite-silicate-V,,
167,Magnetite-silicate-VI,,
168,Magnetite-silicate-VII,,
169,Magnetite-silicate-VIII,,
170,Magnetite-silicate-IX,,
171,Hematite-X,,
172,Hematite-XI,,
173,Bingi-XII,,
174,Bingi-XIII,,
175,Bingi-XIV,,
176,Zimbabwe-I,,
177,Zimbabwe-II,,
178,Zimbabwe-III,,
179,Guinea and Senegal-IV,,
180,Guinea and Senegal-V,,
181,Guinea and Senegal-VI,,
182,Guinea and Senegal-VII,,
183,Guinea and Senegal-VIII,,
184,North America-IX,,
185,North America-X,,
186,China-XI,,
187,Ukraine-XII,,
188,Ukraine-XIII,,
189,Itakpe Hill-I,,
190,Itakpe Hill-II,,
191,Itakpe Hill-III,,
192,Desna Group-IV,,
193,Desna Group-V,,
194,Desna Group-VI,,
195,Wadi Mubarak-VII,,
196,Wadi Mubarak-VIII,,
197,Wadi Mubarak-IX,,
198,Liberia-X,,
199,Liberia-XI,,
200,Harare-XII,,
201,Rana-XIII,,
202,Rana-XIV,,
203,Norberg-XV,,
204,Thuringian Basin-I,,
205,Thuringian Basin-II,,
206,Thuringian Basin-III,,
207,Thuringian Basin-IV,,
208,Prague Basin-V,,
209,Prague Basin-VI,,
210,Prague Basin-VII,,
211,Prague Basin-VIII,,
212,Leru-section-IX,,
213,Leru-section-X,,
214,Scrunthorpe-XI,,
215,Scrunthorpe-XII,,
216,Welsh Basin-I,,
217,Welsh Basin-II,,
218,Welsh Basin-III,,
219,Welsh Basin-IV,,
220,Welsh Basin-V,,
221,Welsh Basin-VI,,
222,Cleveland Ironstone-VII,,
223,Cleveland Ironstone-VIII,,
224,Cleveland Ironstone-IX,,
225,Cleveland Ironstone-X,,
226,Cleveland Ironstone-XI,,
227,Cleveland Ironstone-XII,,
228,Salzgitter-I,,
229,Salzgitter-II,,
230,Salzgitter-III,,
231,France-IV,,
232,France-V,,
233,France-VI,,
234,France-VII,,
235,France-VIII,,
236,France-IX,,
237,France-X,,
238,Aswan-I,,
239,Aswan-II,,
240,Aswan-III,,
241,Aswan-IV,,
242,Red Mountain Formation-I,,
243,Red Mountain Formation-II,,
244,Rumelange-II,,
245,Rumelange-IV,,
246,Rumelange-V,,
247,Rumelange-VI,,
248,Rumelange-VII,,
249,Kalabscha-I,,
250,Kalabscha-II,,
251,Kalabscha-III,,
252,Agbaja-V,,
253,Agbaja-VII,,
254,Gh2,,
255,Gh3,,
256,Gh14,,
257,Hr5,,
258,Gh9,,
259,Gh4,,
260,Gd2,,
261,Gd3,,
262,Gd5,,
263,Gh5,,
264,Gh8,,
265,Gd8,,
266,Gd11,,
267,Gd16,,
268,Gd17,,
269,Gh15,,
270,Gh16,,
271,Gh17,,
272,Gh20,,
273,Hr6,,
274,Hr8,,
275,Hr11,,
276,DXGB-14,,
277,DXGB-15,,
278,DXGB-16,,
279,DXGB-17,,
280,DXGB-18,,
281,DXGS-6,,Carbonates
282,DXGS-7,,Carbonates
283,DXGS-8,,Carbonates
284,DXGS-9,,Carbonates
285,DXGS-10,,Carbonates
286,DXGS-11,,Carbonates
287,DXGS-12,,Carbonates
288,DXGS-13,,Carbonates
289,DXGS-14,,Carbonates
290,DXGS-15,,Carbonates
291,DXGS-16,,Carbonates
292,DXGS-17,,Carbonates
293,DXGS-18,,Carbonates
294,DXGS-19,,Carbonates
295,DXGS-20,,Carbonates
296,DXGS-21,,Carbonates
