"Number","Sample.x","SiO2 (%)","TiO2","Al2O3","Fe2O3","FeO","Fe","MnO","Mn","MgO","CaO","Na2O","K2O","P2O5","SO3","C","CO2","LOI","H2O","Cl","Total","Li","Be","Rb","Sr","Cs","Ba","B","Br","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","Ge","As","Y","Zr","Nb","Mo","Ag","Cd","Sn","Sb","Te","Hf","Ta","W","Au","Hg","Tl","Pb","Bi","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Fe/Mn","Ref","Type","Fe_species","Mn_species","Locality","Age","method","Notes","Sample.y","Formation","Pathway"
1,"ANK9","7.81",0.14,4.62,68.91,NA,NA,"0.48",NA,0.78,"1.2","0.1","0.18","2.01","0.4",NA,NA,"12.78",NA,NA,99.41,NA,NA,NA,"110.6",NA,"74.03",NA,NA,"11.1","802.7","114.4","112.2","239.6","10.67","445.9",NA,NA,35.46,"83.22","56.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.67",NA,NA,NA,26,206,"14.2","79",18.66,4.57,18.43,"3.24",17.76,"4.22",11.71,1.66,11.12,1.75,129.66,1,"Oolitic Ironstone","oxide","oxide","Jebel Ank,Tunisia","Late Eocene","AAS, ICP-MS",NA,"ANK9",NA,NA
2,"ANK10","7.77",0.14,4.6,69.48,NA,NA,"0.49",NA,0.79,"1.21","0.1","0.18","2.03","0.38",NA,NA,"12.89",NA,NA,100.06,NA,NA,NA,"123.5",NA,"66.83",NA,NA,"12.33","912.6","118","137.8","245.2","15.02","466",NA,NA,37.01,"91.6","62.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.09",NA,NA,NA,32.8,211.8,"16.39","78.14",18.58,4.52,19.8,"3.35",18.92,"4.29",12.58,1.71,11.59,1.84,128.06,1,"Oolitic Ironstone","oxide","oxide","Jebel Ank,Tunisia","Late Eocene","AAS, ICP-MS",NA,"ANK10",NA,NA
3,"ANK11","7.67",0.12,5.07,69.44,NA,NA,"0.68",NA,0.8,"1.11","0.1","0.16","1.89","0.25",NA,NA,"12.76",NA,NA,100.05,NA,NA,NA,"93.04",NA,"58.89",NA,NA,"14.67","948.9","116.5","149.3","253.4","17.11","453.6",NA,NA,38.78,"92.4","67.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.56",NA,NA,NA,37.11,226.4,"17.34","81.73",18.43,4.68,19.65,"3.21",18.88,"4.45",12.96,1.79,11.26,1.84,92.23,1,"Oolitic Ironstone","oxide","oxide","Jebel Ank,Tunisia","Late Eocene","AAS, ICP-MS",NA,"ANK11",NA,NA
4,"ANK12","8.2",0.16,6.12,66.88,NA,NA,"0.55",NA,0.79,"0.89","0.12","0.11","2.02","0.37",NA,NA,"13.56",NA,NA,99.77,NA,NA,NA,"98.29",NA,"64.11",NA,NA,"15.09","584.2","110.2","92.82","228.7","22.67","337.3",NA,NA,10.62,"73.12","76.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.23",NA,NA,NA,27.33,192.9,"13.82","67.36",15.66,4.02,17.27,"2.81",16.21,"4.1",10.75,1.61,10.34,1.59,109.82,1,"Oolitic Ironstone","oxide","oxide","Jebel Ank,Tunisia","Late Eocene","AAS, ICP-MS",NA,"ANK12",NA,NA
5,"GL-1-W",NA,NA,NA,NA,NA,15.5,NA,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"220","338","13","1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-W","Freshwater","Freshwater"
6,"GL-1-X",NA,NA,NA,NA,NA,20.9,NA,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"202","243","12","1575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-X","Freshwater","Freshwater"
7,"GL-1-X",NA,NA,NA,NA,NA,20.9,NA,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","230","8","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-X","Freshwater","Freshwater"
8,"GL-1-Y",NA,NA,NA,NA,NA,18.6,NA,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","215","10","1575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-Y","Freshwater","Freshwater"
9,"GL-1-YA",NA,NA,NA,NA,NA,18.7,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","215","10","1575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-YA","Freshwater","Freshwater"
10,"GL-1-Z",NA,NA,NA,NA,NA,19.3,NA,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","215","10","1340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,2,"Lacustrine ferromanganese concretion","oxide","oxide","Grand Lake, Nova Scotia, Canada",NA,"whole rock XRF, AAS",NA,"GL-1-Z","Freshwater","Freshwater"
